Rank,Name,Nationality,Position,Team,League,Age,Birth Year,Matches Played,Matches Started,Playing Time Min,90 Minutes Played,Goals,Assists,Goals + Assists,Goals - Penalty Kick,Penalty Kick,Penalty Kick Attempts,Yellow Cards,Red Cards,Expected Goals,Non-Penalty Expected Goals,Expected xAG,Non-Penalty Expected Goals + Expected Assisted Goals,Progressive Carries,Progressive Passes,Progressive Receptions,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Goals - Penalty Kick Per 90,Per 90 Minutes G+A-PK,Expected Goals Per 90,Expected Assisted Goals Per 90,Per 90 Minutes xG+xAG,Non-Penalty Expected Goals Per 90,Non-Penalty Expected Goals + Expected Assisted Goals Per 90
97,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,27-116,1997,20,15,1319,14.7,0,1,1,0,0,0,8,1,0.3,0.3,0.8,1.1,16,59,16,0.00,0.07,0.07,0.00,0.07,0.02,0.05,0.07,0.02,0.07
98,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21-230,2003,22,14,1387,15.4,4,2,6,4,0,0,5,0,2.3,2.3,0.8,3.1,66,48,143,0.26,0.13,0.39,0.26,0.39,0.15,0.05,0.20,0.15,0.20
99,Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,es La Liga,25-017,2000,24,19,1596,17.7,7,2,9,6,1,1,4,0,6.9,6.1,2.9,9.0,51,53,105,0.39,0.11,0.51,0.34,0.45,0.39,0.16,0.55,0.35,0.51
100,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,30-024,1995,14,13,1151,12.8,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,14,83,0,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
101,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22-289,2002,12,1,236,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
102,Will Alves,eng ENG,FW,Leicester City,eng Premier League,20-014,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,28-094,1996,16,12,964,10.7,3,1,4,2,1,1,5,0,2.7,1.9,0.6,2.4,20,34,16,0.28,0.09,0.37,0.19,0.28,0.25,0.05,0.30,0.17,0.23
104,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28-216,1996,9,5,316,3.5,0,1,1,0,0,0,1,0,0.4,0.4,0.2,0.6,7,11,21,0.00,0.28,0.28,0.00,0.28,0.10,0.06,0.16,0.10,0.16
105,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30-345,1994,11,8,790,8.8,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,22,36,21,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
106,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21-201,2003,4,1,70,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.00,0.32
107,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-009,1998,19,14,1349,15.0,1,0,1,1,0,0,2,0,0.2,0.2,0.4,0.7,24,43,53,0.07,0.00,0.07,0.07,0.07,0.02,0.03,0.04,0.02,0.04
108,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-006,1996,21,18,1694,18.8,1,2,3,1,0,0,1,0,1.5,1.5,2.5,3.9,25,96,67,0.05,0.11,0.16,0.05,0.16,0.08,0.13,0.21,0.08,0.21
109,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-113,1996,19,19,1498,16.6,4,2,6,2,2,2,6,2,3.6,2.0,4.4,6.4,29,124,44,0.24,0.12,0.36,0.12,0.24,0.21,0.26,0.48,0.12,0.38
110,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18-214,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,0,3,0.00,0.00,0.00,0.00,0.00,0.07,0.22,0.29,0.07,0.29
111,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,19-030,2006,17,9,859,9.5,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.8,8,36,17,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
112,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24-284,2000,20,19,1644,18.3,9,7,16,8,1,1,3,0,5.6,4.8,2.8,7.6,60,41,146,0.49,0.38,0.88,0.44,0.82,0.31,0.16,0.46,0.26,0.42
113,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,28-180,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
114,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28-262,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
115,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28-262,1996,16,16,1413,15.7,0,0,0,0,0,0,3,1,0.3,0.3,0.3,0.7,9,66,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
116,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-103,2002,24,20,1636,18.2,1,5,6,1,0,0,5,0,1.2,1.2,2.8,4.0,32,84,61,0.06,0.28,0.33,0.06,0.33,0.06,0.16,0.22,0.06,0.22
117,André,br BRA,MF,Wolves,eng Premier League,23-216,2001,20,18,1402,15.6,0,0,0,0,0,0,3,0,0.1,0.1,0.6,0.7,5,53,5,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04
118,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,34-198,1990,19,19,1702,18.9,0,1,1,0,0,0,9,0,1.2,1.2,1.1,2.3,18,142,44,0.00,0.05,0.05,0.00,0.05,0.06,0.06,0.12,0.06,0.12
119,Marcos André,br BRA,FW,Valladolid,es La Liga,28-120,1996,16,11,944,10.5,1,1,2,1,0,0,5,0,2.0,2.0,0.6,2.6,10,10,30,0.10,0.10,0.19,0.10,0.19,0.19,0.06,0.25,0.19,0.25
120,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,30-148,1994,16,14,1150,12.8,2,1,3,2,0,0,6,0,1.2,1.2,0.2,1.4,7,48,13,0.16,0.08,0.23,0.16,0.23,0.09,0.02,0.11,0.09,0.11
121,Angeliño,es ESP,DF,Roma,it Serie A,28-044,1997,25,24,2082,23.1,1,1,2,1,0,0,1,0,0.5,0.5,2.1,2.6,38,126,105,0.04,0.04,0.09,0.04,0.09,0.02,0.09,0.11,0.02,0.11
122,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19-357,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
123,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,23-086,2001,17,13,983,10.9,0,3,3,0,0,0,2,0,0.8,0.8,1.6,2.4,27,50,30,0.00,0.27,0.27,0.00,0.27,0.07,0.15,0.22,0.07,0.22
124,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28-212,1996,16,13,1139,12.7,0,2,2,0,0,0,3,0,0.8,0.8,0.6,1.3,23,83,10,0.00,0.16,0.16,0.00,0.16,0.06,0.04,0.10,0.06,0.10
125,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,22-035,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
126,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34-326,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,2.2,2.2,1.6,3.8,29,18,59,0.11,0.11,0.22,0.11,0.22,0.24,0.17,0.41,0.24,0.41
127,Antoniu,es ESP,MF,Espanyol,es La Liga,22-165,2002,13,6,467,5.2,0,1,1,0,0,0,3,0,0.6,0.6,1.0,1.6,16,11,33,0.00,0.19,0.19,0.00,0.19,0.11,0.19,0.30,0.11,0.30
128,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,24-359,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73
129,Antony,br BRA,FW,Betis,es La Liga,24-359,2000,3,3,232,2.6,2,1,3,2,0,0,1,0,0.4,0.4,0.3,0.7,7,10,24,0.78,0.39,1.16,0.78,1.16,0.14,0.12,0.26,0.14,0.26
