Rank,Name,Nationality,Position,Team,League,Age,Birth Year,Matches Played,Matches Started,Playing Time Min,90 Minutes Played,Goals,Assists,Goals + Assists,Goals - Penalty Kick,Penalty Kick,Penalty Kick Attempts,Yellow Cards,Red Cards,Expected Goals,Non-Penalty Expected Goals,Expected xAG,Non-Penalty Expected Goals + Expected Assisted Goals,Progressive Carries,Progressive Passes,Progressive Receptions,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Goals - Penalty Kick Per 90,Per 90 Minutes G+A-PK,Expected Goals Per 90,Expected Assisted Goals Per 90,Per 90 Minutes xG+xAG,Non-Penalty Expected Goals Per 90,Non-Penalty Expected Goals + Expected Assisted Goals Per 90
803,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,33-003,1992,13,7,637,7.1,0,1,1,0,0,0,2,0,0.1,0.1,2.1,2.2,5,34,19,0.00,0.14,0.14,0.00,0.14,0.02,0.29,0.30,0.02,0.30
804,Martin Erlic,hr CRO,DF,Bologna,it Serie A,27-024,1998,5,3,224,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,8,1,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
805,Patrick Erras,de GER,DF,Holstein Kiel,de Bundesliga,30-027,1995,10,10,832,9.2,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.0,3,25,1,0.11,0.00,0.11,0.11,0.11,0.10,0.01,0.11,0.10,0.11
806,Alfonso Espino,uy URU,DF,Rayo Vallecano,es La Liga,33-043,1992,6,5,397,4.4,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,5,15,12,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.05,0.06
807,Sebastiano Esposito,it ITA,"FW,MF",Empoli,it Serie A,22-230,2002,21,15,1406,15.6,8,0,8,7,1,2,1,0,4.8,3.2,1.5,4.7,22,51,54,0.51,0.00,0.51,0.45,0.45,0.31,0.09,0.40,0.21,0.30
808,Romain Esse,eng ENG,MF,Crystal Palace,eng Premier League,19-280,2005,1,0,7,0.1,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,1,2,12.86,0.00,12.86,12.86,12.86,3.61,0.00,3.61,3.61,3.61
809,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,27-025,1998,20,15,1191,13.2,5,2,7,5,0,0,4,1,2.7,2.7,1.2,3.8,23,10,88,0.38,0.15,0.53,0.38,0.53,0.20,0.09,0.29,0.20,0.29
810,Dario Essugo,pt POR,MF,Las Palmas,es La Liga,19-340,2005,14,14,1101,12.2,1,0,1,1,0,0,7,1,0.3,0.3,0.2,0.6,12,53,6,0.08,0.00,0.08,0.08,0.08,0.03,0.02,0.05,0.03,0.05
811,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29-095,1995,7,4,356,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,2,14,1,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
812,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,27-027,1998,18,15,1417,15.7,0,1,1,0,0,0,3,0,0.6,0.6,1.8,2.4,39,71,76,0.00,0.06,0.06,0.00,0.06,0.04,0.11,0.15,0.04,0.15
813,Evanilson,br BRA,FW,Bournemouth,eng Premier League,25-134,1999,19,17,1370,15.2,5,0,5,5,0,1,0,0,6.6,5.8,1.1,6.9,19,13,61,0.33,0.00,0.33,0.33,0.33,0.43,0.07,0.51,0.38,0.45
814,Jonny Evans,nir NIR,DF,Manchester Utd,eng Premier League,37-045,1988,6,3,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
815,Edu Expósito,es ESP,"MF,FW",Espanyol,es La Liga,28-200,1996,6,1,154,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,4,12,7,0.00,0.00,0.00,0.00,0.00,0.06,0.19,0.25,0.06,0.25
816,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,26-233,1998,21,19,1656,18.4,2,5,7,2,0,0,1,0,5.1,5.1,3.6,8.7,48,72,111,0.11,0.27,0.38,0.11,0.38,0.28,0.20,0.47,0.28,0.47
817,Abde Ezzalzouli,ma MAR,"FW,MF",Betis,es La Liga,23-062,2001,23,18,1523,16.9,1,1,2,1,0,1,2,0,7.0,6.2,1.7,7.8,97,55,164,0.06,0.06,0.12,0.06,0.12,0.41,0.10,0.51,0.37,0.46
818,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22-034,2003,19,5,704,7.8,2,0,2,2,0,0,2,0,1.5,1.5,0.4,1.9,10,9,27,0.26,0.00,0.26,0.26,0.26,0.19,0.05,0.24,0.19,0.24
819,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,39-305,1985,13,12,1070,11.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
820,Alieu Fadera,gm GAM,"FW,DF",Como,it Serie A,23-106,2001,21,20,1560,17.3,1,3,4,1,0,0,1,1,1.6,1.6,3.8,5.4,69,33,153,0.06,0.17,0.23,0.06,0.23,0.09,0.22,0.31,0.09,0.31
821,Wout Faes,be BEL,DF,Leicester City,eng Premier League,26-320,1998,22,18,1735,19.3,1,0,1,1,0,0,3,0,1.1,1.1,0.1,1.2,8,58,1,0.05,0.00,0.05,0.05,0.05,0.06,0.00,0.06,0.06,0.06
822,Nicolò Fagioli,it ITA,"MF,DF",Fiorentina,it Serie A,24-005,2001,2,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
823,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,24-005,2001,17,5,571,6.3,0,0,0,0,0,0,4,0,0.6,0.6,0.1,0.7,19,41,18,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11
824,Romain Faivre,fr FRA,"MF,FW",Brest,fr Ligue 1,26-218,1998,16,9,757,8.4,2,2,4,1,1,1,2,0,1.9,1.1,1.8,2.9,19,35,32,0.24,0.24,0.48,0.12,0.36,0.22,0.21,0.44,0.13,0.34
825,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,29-311,1995,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
826,Davide Faraoni,it ITA,"DF,MF",Hellas Verona,it Serie A,33-115,1991,5,1,136,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,3,7,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.19,0.14,0.19
827,Abdul Fatawu Issahaku,gh GHA,FW,Leicester City,eng Premier League,20-346,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31
828,Ansu Fati,es ESP,FW,Barcelona,es La Liga,22-109,2002,4,1,127,1.4,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,4,3,16,0.00,0.00,0.00,0.00,0.00,0.42,0.04,0.46,0.42,0.46
829,Khalil Fayad,fr FRA,"MF,FW",Montpellier,fr Ligue 1,20-253,2004,11,5,533,5.9,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,9,28,12,0.00,0.00,0.00,0.00,0.00,0.12,0.03,0.15,0.12,0.15
830,Jacopo Fazzini,it ITA,"MF,FW",Empoli,it Serie A,21-338,2003,12,9,769,8.5,0,0,0,0,0,0,1,0,0.8,0.8,0.2,1.0,17,24,47,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.11,0.09,0.11
831,Peter Federico,do DOM,"MF,FW",Getafe,es La Liga,22-207,2002,12,1,334,3.7,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,3,5,24,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11
832,Nabil Fekir,fr FRA,MF,Betis,es La Liga,31-214,1993,2,2,180,2.0,0,1,1,0,0,0,0,0,0.7,0.7,0.5,1.2,9,10,18,0.00,0.50,0.50,0.00,0.50,0.34,0.26,0.61,0.34,0.61
833,Mattia Felici,it ITA,"MF,FW",Cagliari,it Serie A,23-306,2001,15,7,726,8.1,0,3,3,0,0,0,1,0,0.6,0.6,1.0,1.6,35,16,62,0.00,0.37,0.37,0.00,0.37,0.08,0.12,0.20,0.08,0.20
834,João Félix,pt POR,"FW,MF",Chelsea,eng Premier League,25-099,1999,12,3,369,4.1,1,1,2,1,0,0,2,0,2.2,2.2,1.0,3.2,21,26,29,0.24,0.24,0.49,0.24,0.49,0.54,0.23,0.78,0.54,0.78
835,João Félix,pt POR,MF,Milan,it Serie A,25-099,1999,2,2,170,1.9,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,5,13,12,0.00,0.00,0.00,0.00,0.00,0.40,0.06,0.46,0.40,0.46
836,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,34-015,1991,21,21,1725,19.2,0,1,1,0,0,0,6,0,0.4,0.4,1.1,1.4,45,88,37,0.00,0.05,0.05,0.00,0.05,0.02,0.06,0.07,0.02,0.07
837,Evan Ferguson,ie IRL,FW,West Ham,eng Premier League,20-121,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,1,0,2,0.00,0.00,0.00,0.00,0.00,0.24,0.46,0.70,0.24,0.70
838,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,20-121,2004,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.37,0.00,0.37,0.37,0.37,0.20,0.15,0.35,0.20,0.35
839,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,25-177,1999,7,3,320,3.6,1,0,1,0,1,1,0,0,0.8,0.0,0.3,0.3,7,22,13,0.28,0.00,0.28,0.00,0.00,0.23,0.08,0.31,0.01,0.09
840,Zinedine Ferhat,dz ALG,FW,Angers,fr Ligue 1,31-353,1993,14,3,457,5.1,2,0,2,2,0,0,1,0,1.3,1.3,1.6,3.0,11,24,44,0.39,0.00,0.39,0.39,0.39,0.26,0.32,0.59,0.26,0.59
841,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,30-162,1994,24,24,2015,22.4,5,6,11,2,3,3,4,2,7.8,5.5,5.3,10.8,52,197,102,0.22,0.27,0.49,0.09,0.36,0.35,0.24,0.59,0.24,0.48
842,Edimilson Fernandes,ch SUI,MF,Brest,fr Ligue 1,28-308,1996,13,9,803,8.9,0,1,1,0,0,0,1,0,0.3,0.3,0.5,0.9,3,27,1,0.00,0.11,0.11,0.00,0.11,0.04,0.06,0.10,0.04,0.10
843,Mateus Fernandes,pt POR,MF,Southampton,eng Premier League,20-222,2004,23,21,1829,20.3,1,2,3,1,0,0,7,0,3.1,3.1,2.0,5.0,56,94,67,0.05,0.10,0.15,0.05,0.15,0.15,0.10,0.25,0.15,0.25
844,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,26-310,1998,8,7,657,7.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
845,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24-031,2001,23,19,1782,19.8,3,4,7,3,0,0,5,0,2.9,2.9,3.8,6.7,27,134,68,0.15,0.20,0.35,0.15,0.35,0.15,0.19,0.34,0.15,0.34
846,Roberto Férnandez,es ESP,FW,Espanyol,es La Liga,22-229,2002,5,4,319,3.5,2,0,2,2,0,0,1,0,1.0,1.0,0.1,1.0,4,3,7,0.56,0.00,0.56,0.56,0.56,0.27,0.02,0.29,0.27,0.29
847,Valery Fernández,es ESP,"MF,FW",Mallorca,es La Liga,25-086,1999,12,1,231,2.6,2,0,2,2,0,0,1,0,0.8,0.8,0.0,0.8,2,3,8,0.78,0.00,0.78,0.78,0.78,0.33,0.00,0.33,0.33,0.33
848,Matias Fernandez-Pardo,be BEL,FW,Lille,fr Ligue 1,20-014,2005,11,5,437,4.9,1,1,2,1,0,0,2,0,0.2,0.2,1.1,1.3,23,10,36,0.21,0.21,0.41,0.21,0.41,0.04,0.22,0.27,0.04,0.27
849,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,32-342,1992,15,12,1051,11.7,0,1,1,0,0,0,4,1,0.3,0.3,0.5,0.8,8,82,23,0.00,0.09,0.09,0.00,0.09,0.02,0.04,0.07,0.02,0.07
850,Daniel Fila,cz CZE,FW,Venezia,it Serie A,22-180,2002,1,1,79,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,1,6,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
851,Karol Fila,pl POL,MF,Strasbourg,fr Ligue 1,26-249,1998,1,0,5,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
852,Kilian Fischer,de GER,DF,Wolfsburg,de Bundesliga,24-128,2000,22,20,1591,17.7,0,0,0,0,0,0,5,0,0.2,0.2,0.3,0.5,30,58,48,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
853,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31-249,1993,24,24,2105,23.4,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01
854,Mateo Flores,es ESP,MF,Betis,es La Liga,20-316,2004,5,1,142,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
855,Phil Foden,eng ENG,"MF,FW",Manchester City,eng Premier League,24-265,2000,20,16,1439,16.0,7,2,9,7,0,0,2,0,4.6,4.6,4.4,9.0,41,85,103,0.44,0.13,0.56,0.44,0.56,0.29,0.28,0.57,0.29,0.57
856,Malick Fofana,be BEL,FW,Lyon,fr Ligue 1,19-323,2005,20,10,1034,11.5,3,4,7,3,0,0,1,0,2.8,2.8,2.4,5.2,68,36,128,0.26,0.35,0.61,0.26,0.61,0.24,0.21,0.45,0.24,0.45
857,Seko Fofana,ci CIV,MF,Rennes,fr Ligue 1,29-286,1995,6,2,317,3.5,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.9,15,29,15,0.00,0.28,0.28,0.00,0.28,0.08,0.17,0.26,0.08,0.26
858,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,24-062,2000,12,12,1015,11.3,0,0,0,0,0,0,6,0,0.4,0.4,0.4,0.8,14,25,4,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.04,0.07
859,Yahia Fofana,ci CIV,GK,Angers,fr Ligue 1,24-180,2000,22,22,1980,22.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
860,Youssouf Fofana,fr FRA,MF,Milan,it Serie A,26-038,1999,22,21,1738,19.3,1,4,5,1,0,0,5,0,0.8,0.8,2.1,2.9,30,132,22,0.05,0.21,0.26,0.05,0.26,0.04,0.11,0.15,0.04,0.15
861,Jonas Föhrenbach,de GER,DF,Heidenheim,de Bundesliga,29-022,1996,20,20,1616,18.0,0,1,1,0,0,0,3,0,0.3,0.3,1.2,1.5,35,49,42,0.00,0.06,0.06,0.00,0.06,0.01,0.07,0.08,0.01,0.08
862,Michael Folorunsho,it ITA,"FW,MF",Fiorentina,it Serie A,27-010,1998,6,4,411,4.6,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,8,18,17,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
863,Michael Folorunsho,it ITA,"FW,MF",Napoli,it Serie A,27-010,1998,6,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27
864,Lamine Fomba,fr FRA,MF,Saint-Étienne,fr Ligue 1,27-022,1998,6,3,208,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,5,17,5,0.00,0.00,0.00,0.00,0.00,0.01,0.13,0.14,0.01,0.14
865,Carlos Forbs,pt POR,"MF,FW",Wolves,eng Premier League,20-335,2004,9,1,237,2.6,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,9,8,28,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07
866,Pablo Fornals,es ESP,"MF,FW",Betis,es La Liga,28-361,1996,15,12,1047,11.6,1,0,1,1,0,0,2,0,1.4,1.4,2.1,3.4,16,85,60,0.09,0.00,0.09,0.09,0.09,0.12,0.18,0.29,0.12,0.29
867,Omari Forson,eng ENG,"MF,FW",Monza,it Serie A,20-212,2004,5,0,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,3,5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
868,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,36-337,1988,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
869,Héctor Fort,es ESP,DF,Barcelona,es La Liga,18-199,2006,10,2,295,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.7,7,14,16,0.00,0.00,0.00,0.00,0.00,0.02,0.18,0.21,0.02,0.21
870,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,31-331,1993,22,15,1432,15.9,0,0,0,0,0,0,4,0,0.4,0.4,0.3,0.6,26,50,44,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
871,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,27-036,1998,7,5,452,5.0,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,3,13,0,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.17,0.14,0.17
872,Alejandro Francés,es ESP,DF,Girona,es La Liga,22-200,2002,11,8,710,7.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,10,38,11,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
873,Przemysław Frankowski,pl POL,DF,Lens,fr Ligue 1,29-311,1995,18,16,1387,15.4,4,2,6,2,2,2,3,0,2.3,0.7,2.5,3.2,33,117,95,0.26,0.13,0.39,0.13,0.26,0.15,0.16,0.31,0.05,0.21
874,Enric Franquesa,es ESP,"DF,FW",Leganés,es La Liga,27-357,1997,12,7,616,6.8,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,11,12,30,0.15,0.00,0.15,0.15,0.15,0.04,0.02,0.06,0.04,0.06
875,Ryan Fraser,sct SCO,"FW,DF",Southampton,eng Premier League,30-359,1994,8,4,306,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
876,Davide Frattesi,it ITA,MF,Inter,it Serie A,25-118,1999,20,5,825,9.2,4,1,5,4,0,0,1,0,2.3,2.3,0.7,3.0,15,24,29,0.44,0.11,0.55,0.44,0.55,0.25,0.08,0.33,0.25,0.33
877,Morten Frendrup,dk DEN,MF,Genoa,it Serie A,23-316,2001,23,23,2023,22.5,2,0,2,2,0,0,3,0,1.1,1.1,0.3,1.4,13,68,19,0.09,0.00,0.09,0.09,0.09,0.05,0.01,0.06,0.05,0.06
878,Martin Frese,dk DEN,DF,Hellas Verona,it Serie A,27-044,1998,5,3,336,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,10,6,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
879,Remo Freuler,ch SUI,MF,Bologna,it Serie A,32-308,1992,24,24,2123,23.6,0,2,2,0,0,0,4,0,0.8,0.8,1.2,2.0,26,145,40,0.00,0.08,0.08,0.00,0.08,0.03,0.05,0.09,0.03,0.09
880,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,26-338,1998,17,17,1432,15.9,0,0,0,0,0,0,8,2,0.1,0.1,0.2,0.3,2,49,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02
881,Marvin Friedrich,de GER,DF,Gladbach,de Bundesliga,29-066,1995,15,8,807,9.0,0,1,1,0,0,0,0,0,0.4,0.4,0.6,1.0,9,29,2,0.00,0.11,0.11,0.00,0.11,0.05,0.06,0.11,0.05,0.11
882,Jeremie Frimpong,nl NED,"DF,MF",Leverkusen,de Bundesliga,24-069,2000,22,16,1506,16.7,3,4,7,3,0,0,3,0,3.2,3.2,3.5,6.7,61,36,178,0.18,0.24,0.42,0.18,0.42,0.19,0.21,0.40,0.19,0.40
883,Jorge de Frutos,es ESP,"MF,FW",Rayo Vallecano,es La Liga,27-363,1997,23,19,1628,18.1,4,3,7,4,0,0,2,0,4.1,4.1,3.0,7.1,58,39,138,0.22,0.17,0.39,0.22,0.39,0.23,0.17,0.39,0.23,0.39
884,Darío Fuentes,es ESP,DF,Sevilla,es La Liga,22-036,2003,1,0,5,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
885,Chris Führich,de GER,"MF,FW",Stuttgart,de Bundesliga,27-039,1998,21,13,1201,13.3,1,2,3,1,0,0,0,0,1.3,1.3,2.5,3.8,67,59,128,0.07,0.15,0.22,0.07,0.22,0.10,0.18,0.28,0.10,0.28
886,Shiō Fukuda,jp JPN,"FW,MF",Gladbach,de Bundesliga,20-315,2004,3,0,26,0.3,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,1,2,3.46,0.00,3.46,3.46,3.46,1.20,0.00,1.20,1.20,1.20
887,Angelo Fulgini,fr FRA,"MF,FW",Lens,fr Ligue 1,28-181,1996,18,11,899,10.0,1,1,2,1,0,0,2,0,2.0,2.0,2.4,4.4,23,58,98,0.10,0.10,0.20,0.10,0.20,0.20,0.24,0.44,0.20,0.44
888,Niclas Füllkrug,de GER,FW,West Ham,eng Premier League,32-008,1993,9,3,370,4.1,2,1,3,2,0,0,1,0,1.4,1.4,1.0,2.4,3,4,8,0.49,0.24,0.73,0.49,0.73,0.35,0.24,0.59,0.35,0.59
889,Kyogo Furuhashi,jp JPN,FW,Rennes,fr Ligue 1,30-028,1995,2,1,83,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
890,Manuel Fuster,es ESP,"FW,MF",Las Palmas,es La Liga,27-118,1997,18,6,659,7.3,2,0,2,2,0,0,1,0,0.6,0.6,1.1,1.7,14,41,59,0.27,0.00,0.27,0.27,0.27,0.08,0.15,0.23,0.08,0.23
891,Matteo Gabbia,it ITA,DF,Milan,it Serie A,25-119,1999,15,13,1177,13.1,1,0,1,1,0,0,3,0,0.8,0.8,0.1,0.9,9,57,1,0.08,0.00,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07
892,Alessandro Gabrielloni,it ITA,"FW,MF",Como,it Serie A,30-222,1994,11,0,109,1.2,1,1,2,1,0,0,1,0,0.3,0.3,0.8,1.0,4,5,11,0.83,0.83,1.65,0.83,1.65,0.21,0.64,0.86,0.21,0.86
893,Gianluca Gaetano,it ITA,"MF,FW",Cagliari,it Serie A,24-288,2000,18,8,775,8.6,1,2,3,1,0,0,0,0,3.9,3.9,0.9,4.8,9,32,60,0.12,0.23,0.35,0.12,0.35,0.45,0.10,0.56,0.45,0.56
894,Roberto Gagliardini,it ITA,"MF,DF",Monza,it Serie A,30-316,1994,4,0,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16
895,Cody Gakpo,nl NED,FW,Liverpool,eng Premier League,25-286,1999,24,16,1370,15.2,8,3,11,8,0,0,4,0,5.5,5.5,3.5,8.9,38,43,207,0.53,0.20,0.72,0.53,0.72,0.36,0.23,0.59,0.36,0.59
896,Javi Galán,es ESP,DF,Atlético Madrid,es La Liga,30-090,1994,14,12,965,10.7,0,2,2,0,0,0,6,0,0.1,0.1,2.0,2.1,28,30,65,0.00,0.19,0.19,0.00,0.19,0.01,0.19,0.19,0.01,0.19
897,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,es La Liga,31-195,1993,16,12,950,10.6,0,2,2,0,0,0,3,0,0.1,0.1,2.1,2.3,15,91,25,0.00,0.19,0.19,0.00,0.19,0.01,0.20,0.21,0.01,0.21
898,Conor Gallagher,eng ENG,MF,Atlético Madrid,es La Liga,25-011,2000,18,13,990,11.0,2,0,2,2,0,0,2,0,1.8,1.8,0.2,2.0,13,32,34,0.18,0.00,0.18,0.18,0.18,0.16,0.02,0.18,0.16,0.18
899,Antonino Gallo,it ITA,DF,Lecce,it Serie A,25-043,2000,18,18,1511,16.8,0,2,2,0,0,0,1,1,0.1,0.1,2.2,2.3,40,68,67,0.00,0.12,0.12,0.00,0.12,0.01,0.13,0.14,0.01,0.14
900,Gauthier Gallon,fr FRA,GK,Rennes,fr Ligue 1,31-300,1993,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
901,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,35-116,1989,7,0,147,1.6,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.3,2,4,5,0.61,0.00,0.61,0.61,0.61,0.10,0.11,0.21,0.10,0.21
902,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,35-144,1989,24,22,1923,21.4,0,2,2,0,0,0,5,0,0.9,0.9,1.2,2.1,16,93,16,0.00,0.09,0.09,0.00,0.09,0.04,0.05,0.10,0.04,0.10
