,,,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Performance,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,,-additional
Rk,Player,Gls/90,G/Sh,G/SoT,SoT%,SoT/90,Sh/90,G-PK/90,PK/90,PKatt/90,Dist,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Pos,-9999
135,Kauã Elias,0.4,0.13,0.29,45.7,1.3,2.8,0.4,0.0,0.0,17.1,2024,17,br BRA,Fluminense,br Série A,30,1465,16.3,16,14,6,FW,a80b9f76
136,Cléber,0.4,0.11,0.27,40.5,1.4,3.4,0.4,0.0,0.0,13.6,2022,25,br BRA,Ceará,br Série A,21,979,10.9,12,9,5,FW,e539e239
137,Osvaldo,0.4,0.17,0.44,39.0,0.8,2.2,0.4,0.0,0.0,18.1,2019,31,br BRA,Fortaleza,br Série A,32,1715,19.1,22,10,2,FWMF,deb6b945
138,Ferreira,0.4,0.17,0.45,37.9,0.8,2.1,0.4,0.0,0.0,17.1,2024,26,br BRA,São Paulo,br Série A,26,1230,13.7,14,12,2,FWMF,1414e902
139,Edenílson,0.4,0.13,0.31,40.0,0.5,1.3,0.2,0.2,0.2,24.2,2021,31,br BRA,Internacional,br Série A,33,2711,30.1,30,3,0,MFFW,4e50f20e
140,Germán Cano,0.4,0.12,0.30,40.7,1.2,3.0,0.4,0.0,0.0,20.3,2023,34,ar ARG,Fluminense,br Série A,30,2465,27.4,28,2,0,FW,9ccf4e14
141,Kayke Rodrigues,0.4,0.08,0.36,22.4,0.7,3.0,0.2,0.1,0.1,21.0,2019,30,br BRA,Goiás,br Série A,19,1488,16.5,18,1,0,FW,c9241f21
142,Pablo Vegetti,0.4,0.12,0.36,32.7,1.0,3.0,0.4,0.0,0.1,13.0,2024,35,ar ARG,Vasco da Gama,br Série A,35,2986,33.2,34,1,0,FW,06cc28cd
143,Pedro Raul,0.4,0.07,0.20,36.8,1.3,3.5,0.3,0.1,0.1,15.8,2020,23,br BRA,Botafogo (RJ),br Série A,25,1742,19.4,19,6,0,FW,ed074559
144,Paulinho,0.4,0.19,0.41,47.2,0.8,1.6,0.3,0.0,0.0,15.6,2024,23,br BRA,Atlético Mineiro,br Série A,26,1991,22.1,22,4,0,FWMF,53070b63
145,Henrique Almeida,0.4,0.11,0.26,41.8,1.4,3.3,0.4,0.0,0.1,16.0,2022,30,br BRA,América (MG),br Série A,28,1497,16.6,21,7,7,FW,8aa2f2e3
146,Luciano,0.4,0.10,0.28,36.7,0.9,2.5,0.3,0.1,0.2,19.1,2019,25,br BRA,2 Teams,br Série A,25,1750,19.4,22,3,5,FWMF,24ce161c
147,Adrián Martínez,0.4,0.15,0.40,37.0,0.9,2.4,0.4,0.0,0.0,13.1,2022,29,ar ARG,Coritiba,br Série A,22,1000,11.1,10,12,4,FWMF,6c513f98
148,Yago Pikachu,0.4,0.16,0.44,36.4,0.8,2.3,0.4,0.0,0.1,17.1,2023,30,br BRA,Fortaleza,br Série A,37,1751,19.5,16,21,0,FWMF,462f1e13
149,Alexandre Alemão,0.4,0.16,0.42,38.8,0.9,2.2,0.4,0.0,0.0,14.3,2022,23,br BRA,Internacional,br Série A,34,2005,22.3,22,12,1,FW,3ed2a79b
150,Jefferson Savarino,0.4,0.13,0.28,47.5,1.3,2.7,0.4,0.0,0.0,21.5,2024,27,ve VEN,Botafogo (RJ),br Série A,28,2009,22.3,22,6,0,MFFW,91721722
151,Willian,0.4,0.17,0.47,35.7,0.8,2.2,0.4,0.0,0.1,14.3,2020,33,br BRA,Palmeiras,br Série A,32,1758,19.5,18,14,1,FWMF,1f85d0c8
152,Roger Guedes,0.4,0.11,0.28,38.6,1.1,2.9,0.3,0.0,0.0,17.4,2022,25,br BRA,Corinthians,br Série A,36,2550,28.3,33,3,1,FWMF,612a9dd7
153,Keno,0.4,0.06,0.18,36.2,1.2,3.3,0.2,0.1,0.2,20.2,2020,30,br BRA,Atlético Mineiro,br Série A,33,2551,28.3,29,4,0,FWMF,98558c11
154,Gilberto,0.4,0.09,0.24,39.1,1.3,3.4,0.3,0.0,0.1,17.7,2020,30,br BRA,Bahia,br Série A,33,2306,25.6,30,3,0,FW,5da22685
155,Gustavo Mosquito,0.4,0.17,0.33,50.0,1.1,2.1,0.4,0.0,0.0,14.8,2020,22,br BRA,Corinthians,br Série A,27,1284,14.3,16,11,4,FWMF,c9ed46c4
156,Everaldo Stum,0.4,0.11,0.28,37.9,1.1,2.9,0.3,0.0,0.0,14.7,2024,32,br BRA,Bahia,br Série A,37,2056,22.8,27,10,0,FW,0ac3d7d8
157,Rony,0.3,0.12,0.26,44.2,1.3,3.0,0.3,0.0,0.0,18.0,2020,24,br BRA,Palmeiras,br Série A,23,1288,14.3,15,8,4,FWMF,bffd5e50
158,Jean Carlos Vicente,0.3,0.14,0.44,32.1,0.8,2.4,0.3,0.0,0.0,27.0,2024,31,br BRA,Juventude,br Série A,22,1031,11.5,13,9,4,MFFW,db4b7637
159,Eduardo Sasha,0.3,0.13,0.27,49.1,1.1,2.3,0.3,0.0,0.0,15.3,2024,31,br BRA,Red Bull Bragantino,br Série A,28,2079,23.1,26,2,0,FW,b938b871
160,Mauricio,0.3,0.16,0.55,28.9,0.6,2.2,0.3,0.0,0.0,17.9,2022,20,br BRA,Internacional,br Série A,32,1566,17.4,19,13,2,FWMF,bf4cbc22
161,Alan Patrick,0.3,0.11,0.26,42.2,1.1,2.6,0.3,0.1,0.1,19.1,2022,30,br BRA,Internacional,br Série A,26,1576,17.5,20,6,0,MFFW,00672021
162,Vitor Roque,0.3,0.13,0.29,42.5,1.2,2.7,0.3,0.0,0.0,14.8,2022,16,br BRA,Ath Paranaense,br Série A,29,1315,14.6,14,15,2,FW,cb00f1e6
163,Giorgian De Arrascaeta,0.3,0.13,0.44,29.6,0.8,2.6,0.3,0.0,0.0,19.1,2023,28,uy URU,Flamengo,br Série A,28,1842,20.5,22,6,0,MFFW,be8d02dd
164,Wesley,0.3,0.18,0.36,50.0,0.9,1.9,0.3,0.0,0.0,18.0,2021,21,br BRA,Palmeiras,br Série A,23,1061,11.8,15,8,10,FWMF,434de3a3
165,Franco Cristaldo,0.3,0.14,0.26,51.4,0.8,1.6,0.2,0.1,0.2,19.3,2023,26,ar ARG,Grêmio,br Série A,34,2131,23.7,31,3,1,MFFW,25b26e2e
166,Deyverson,0.3,0.11,0.22,48.6,1.5,3.1,0.3,0.0,0.0,13.1,2021,29,br BRA,Palmeiras,br Série A,26,1066,11.8,9,17,5,FW,2e5e846d
167,Wanderson,0.3,0.15,0.38,41.0,0.9,2.2,0.3,0.0,0.0,17.2,2022,27,br BRA,Internacional,br Série A,26,1605,17.8,21,5,0,FWMF,5da33b33
168,Gabriel Veron,0.3,0.25,0.60,41.7,0.6,1.3,0.3,0.0,0.0,15.4,2024,21,br BRA,Cruzeiro,br Série A,27,1611,17.9,21,6,1,FWMF,6bc49da7
169,Pepê,0.3,0.17,0.47,37.0,0.6,1.7,0.3,0.0,0.0,18.1,2020,22,br BRA,Grêmio,br Série A,31,2421,26.9,27,4,0,FWMF,fc4e7637
170,Alef Manga,0.3,0.09,0.23,37.0,1.1,3.0,0.3,0.1,0.1,18.8,2022,27,br BRA,Coritiba,br Série A,35,2426,27.0,30,5,0,FWMF,559782c4
171,Tiquinho Soares,0.3,0.08,0.27,30.6,0.7,2.4,0.2,0.1,0.1,15.2,2024,33,br BRA,Botafogo (RJ),br Série A,28,1349,15.0,13,15,1,FW,4d982baf
172,Nikão,0.3,0.12,0.35,34.0,0.9,2.8,0.3,0.0,0.0,19.1,2024,31,br BRA,Ath Paranaense,br Série A,26,1624,18.0,19,7,3,FWMF,a34bb194
173,Biel,0.3,0.11,0.33,32.6,1.0,3.0,0.3,0.0,0.0,17.8,2023,21,br BRA,Bahia,br Série A,25,1361,15.1,15,10,0,FWMF,1cb046cd
174,Breno,0.3,0.10,0.21,49.0,1.6,3.2,0.3,0.0,0.0,14.9,2023,27,br BRA,Palmeiras,br Série A,31,1365,15.2,14,17,7,FW,e0016d00
175,Wellington Silva,0.3,0.17,0.75,22.2,0.3,1.5,0.2,0.1,0.1,18.3,2020,27,br BRA,Fluminense,br Série A,22,1094,12.2,14,8,2,FWMF,5c60f49c
176,Vitor Bueno,0.3,0.15,0.46,31.7,0.7,2.2,0.3,0.0,0.0,19.2,2019,24,br BRA,São Paulo,br Série A,28,1650,18.3,18,10,9,MFFW,5752f96d
177,Giorgian De Arrascaeta,0.3,0.12,0.29,42.4,1.1,2.7,0.3,0.0,0.0,17.1,2020,25,uy URU,Flamengo,br Série A,28,2206,24.5,26,2,1,MFFW,be8d02dd
178,Julimar,0.3,0.08,0.23,36.6,1.4,3.8,0.3,0.0,0.0,17.3,2024,23,br BRA,Ath Paranaense,br Série A,31,1665,18.5,17,14,1,FWMF,5fca1c6c
179,Nenê,0.3,0.09,0.27,34.9,0.6,1.7,0.2,0.2,0.2,25.4,2020,38,br BRA,Fluminense,br Série A,31,2224,24.7,28,3,1,MFFW,265ebd37
180,Ricardo Bueno,0.3,0.13,0.32,40.4,0.9,2.2,0.3,0.0,0.1,15.5,2019,31,br BRA,2 Teams,br Série A,29,1950,21.7,21,8,2,FW,768cbb2d
181,Stiven Mendoza,0.3,0.10,0.31,31.7,0.7,2.2,0.2,0.1,0.1,19.1,2023,30,co COL,Santos,br Série A,26,1672,18.6,19,7,3,FWMF,e68f2cb4
182,Juan Martín Lucero,0.3,0.13,0.33,40.0,0.7,1.8,0.2,0.1,0.1,18.3,2024,32,ar ARG,Fortaleza,br Série A,32,2246,25.0,26,6,1,FW,18a3f871
183,Vitor Bueno,0.3,0.08,0.33,23.1,0.5,2.1,0.2,0.2,0.2,24.8,2022,27,br BRA,Ath Paranaense,br Série A,21,1124,12.5,13,8,15,MFFW,5752f96d
184,Willian,0.3,0.13,0.36,36.7,0.9,2.4,0.3,0.0,0.0,14.1,2019,32,br BRA,Palmeiras,br Série A,22,1133,12.6,11,11,1,FWMF,1f85d0c8
185,Carlos Sánchez,0.3,0.07,0.29,25.9,0.4,1.7,0.1,0.2,0.2,21.6,2021,36,uy URU,Santos,br Série A,28,1426,15.8,14,14,3,MFFW,a6dbad80
186,Keno,0.3,0.13,0.42,30.0,0.8,2.5,0.3,0.0,0.0,19.2,2021,31,br BRA,Atlético Mineiro,br Série A,24,1428,15.9,17,7,0,FWMF,98558c11
187,Bruno Henrique,0.3,0.10,0.30,33.3,0.9,2.8,0.3,0.0,0.1,16.0,2020,29,br BRA,Flamengo,br Série A,31,2575,28.6,30,1,0,FW,5edff24f
188,Ferreira,0.3,0.14,0.36,39.3,0.9,2.2,0.3,0.0,0.0,17.8,2023,25,br BRA,Grêmio,br Série A,25,1145,12.7,6,19,1,FWMF,1414e902
189,Alexandre Pato,0.3,0.12,0.29,40.5,1.1,2.6,0.3,0.0,0.0,19.1,2019,29,br BRA,São Paulo,br Série A,20,1434,15.9,18,2,7,FW,7dd83c7d
190,Ángel Romero,0.3,0.11,0.42,26.7,0.7,2.8,0.3,0.0,0.1,17.1,2024,31,py PAR,Corinthians,br Série A,28,1449,16.1,16,12,0,FW,36edfb9b
191,Ademir Santos,0.3,0.14,0.38,37.2,0.8,2.2,0.3,0.0,0.0,17.0,2023,27,br BRA,Bahia,br Série A,33,1740,19.3,19,14,2,FWMF,4b7d58c2
192,Lima,0.3,0.21,0.38,54.2,0.7,1.2,0.3,0.1,0.1,17.8,2020,23,br BRA,Ceará,br Série A,31,1740,19.3,20,11,3,FWMF,d215c7de
193,Igor Jesus,0.3,0.09,0.22,39.7,1.4,3.6,0.3,0.0,0.0,12.3,2024,22,br BRA,Botafogo (RJ),br Série A,22,1454,16.2,16,6,0,FW,dbe24cce
194,Juan Cazares,0.3,0.08,0.25,32.3,1.0,3.2,0.3,0.1,0.1,23.5,2019,26,ec ECU,Atlético Mineiro,br Série A,26,1750,19.4,22,4,2,MFFW,754368cb
195,David Terans,0.3,0.08,0.27,30.1,1.1,3.7,0.3,0.0,0.0,22.6,2021,26,uy URU,Ath Paranaense,br Série A,29,1752,19.5,21,8,1,MFFW,d3d89d8d
196,Mauricio,0.3,0.13,0.46,28.9,0.7,2.3,0.3,0.0,0.0,20.8,2023,21,br BRA,Internacional,br Série A,26,1766,19.6,22,4,1,FWMF,bf4cbc22
197,Fred,0.3,0.15,0.33,45.5,0.9,2.0,0.3,0.0,0.0,15.5,2020,36,br BRA,Fluminense,br Série A,24,1478,16.4,19,5,0,FW,acaeba74
198,Yannick Bolasie,0.3,0.11,0.22,48.0,1.4,2.8,0.3,0.0,0.0,17.6,2024,34,cd COD,Criciúma,br Série A,34,2377,26.4,27,7,1,FW,715fc0fe
199,Vinícius,0.3,0.08,0.24,32.9,0.9,2.9,0.2,0.1,0.1,23.0,2021,29,br BRA,Ceará,br Série A,34,2379,26.4,26,8,0,MFFW,ee01c84d
200,Yeferson Soteldo,0.3,0.13,0.35,38.2,0.9,2.3,0.3,0.0,0.0,16.7,2019,21,ve VEN,Santos,br Série A,32,2689,29.9,31,1,0,FW,bbb6c951
201,Rodrigo Garro,0.3,0.14,0.30,46.2,0.9,2.0,0.3,0.0,0.0,23.7,2024,26,ar ARG,Corinthians,br Série A,36,2995,33.3,35,1,0,MFFW,42b3b51f
202,Agustín Canobbio,0.3,0.12,0.27,44.1,1.1,2.5,0.3,0.0,0.0,17.0,2024,25,uy URU,Ath Paranaense,br Série A,20,1215,13.5,14,6,0,FWMF,4f5a2f38
203,Mateus Vital,0.3,0.15,0.24,63.0,1.3,2.0,0.3,0.0,0.0,19.0,2020,21,br BRA,Corinthians,br Série A,25,1218,13.5,14,11,8,FWMF,db9c8fa4
204,Jô,0.3,0.14,0.38,38.1,0.7,1.8,0.3,0.0,0.0,12.1,2021,33,br BRA,Corinthians,br Série A,32,2147,23.9,24,8,2,FW,e47d11f8
205,Pedro Rocha Neves,0.3,0.13,0.44,30.0,0.7,2.2,0.3,0.0,0.0,19.1,2021,26,br BRA,Ath Paranaense,br Série A,20,1228,13.6,11,9,0,FWMF,b33e0095
206,Sassá,0.3,0.09,0.25,37.5,1.2,3.1,0.3,0.0,0.0,18.2,2019,25,br BRA,Cruzeiro,br Série A,24,922,10.2,9,15,11,FW,445f7fc6
207,Gabriel Barbosa,0.3,0.02,0.07,32.6,0.8,2.5,0.1,0.2,0.3,18.0,2023,26,br BRA,Flamengo,br Série A,26,1540,17.1,17,9,3,FW,72d0e1b6
208,Abel Hernández,0.3,0.13,0.33,37.5,0.9,2.3,0.3,0.0,0.0,12.1,2020,29,uy URU,Internacional,br Série A,23,925,10.3,10,13,5,FW,a36da810
209,Robson,0.3,0.10,0.29,34.3,0.9,2.6,0.3,0.0,0.0,19.0,2020,28,br BRA,Coritiba,br Série A,32,2469,27.4,29,3,0,FWMF,e29eff7a
210,Júnior Santos,0.3,0.10,0.33,30.4,0.9,2.9,0.3,0.0,0.0,18.2,2023,28,br BRA,Botafogo (RJ),br Série A,37,2163,24.0,30,7,1,FW,9109e933
211,Luiz Adriano,0.3,0.12,0.25,46.2,1.2,2.5,0.3,0.0,0.0,13.3,2021,33,br BRA,Palmeiras,br Série A,19,936,10.4,12,7,9,FW,2557c196
212,Luiz Henrique,0.3,0.13,0.35,36.2,0.8,2.3,0.3,0.0,0.0,18.3,2021,20,br BRA,Fluminense,br Série A,33,1873,20.8,24,9,0,FW,8059806f
213,Fred,0.3,0.07,0.17,40.0,0.7,1.7,0.1,0.2,0.2,15.1,2021,37,br BRA,Fluminense,br Série A,24,1574,17.5,22,2,0,FW,acaeba74
214,Jonas,0.3,0.14,0.43,31.8,0.7,2.1,0.3,0.0,0.0,19.5,2019,19,br BRA,São Paulo,br Série A,17,947,10.5,11,6,4,FWMF,32794a5b
215,Giovanni Augusto,0.3,0.17,0.50,33.3,0.6,1.7,0.3,0.0,0.0,21.2,2020,30,br BRA,Coritiba,br Série A,20,1275,14.2,15,5,1,MFFW,2f94a698
216,Enner Valencia,0.3,0.10,0.25,41.4,1.1,2.7,0.3,0.0,0.1,16.2,2024,34,ec ECU,Internacional,br Série A,24,961,10.7,11,13,0,FW,fb485406
217,Janderson,0.3,0.15,0.33,45.0,0.8,1.9,0.3,0.0,0.0,17.1,2024,24,br BRA,Atl Goianiense,br Série A,20,962,10.7,9,11,0,FWMF,06c5bcf7
218,Moises,0.3,0.12,0.32,37.9,0.9,2.3,0.3,0.0,0.0,18.0,2022,25,br BRA,Fortaleza,br Série A,37,2250,25.0,27,10,1,FWMF,ddd07a25
219,Muriqui,0.3,0.11,0.67,16.7,0.2,1.3,0.1,0.1,0.1,16.1,2022,35,br BRA,Avaí,br Série A,26,1289,14.3,18,8,4,FWMF,a55ac46c
220,Luiz Fernando,0.3,0.12,0.36,33.3,0.8,2.3,0.3,0.0,0.0,18.4,2024,27,br BRA,Atl Goianiense,br Série A,31,2591,28.8,30,1,0,FWMF,824ed016
221,Lucca,0.3,0.18,0.38,47.1,0.7,1.6,0.3,0.0,0.0,15.8,2020,29,br BRA,Fluminense,br Série A,18,972,10.8,11,7,2,FW,c1b02057
222,Pedro Rocha Neves,0.3,0.10,0.40,25.0,0.5,1.8,0.2,0.1,0.1,21.7,2022,27,br BRA,2 Teams,br Série A,19,976,10.8,11,8,6,FW,b33e0095
223,Jô,0.3,0.13,0.27,47.8,1.0,2.1,0.3,0.0,0.1,12.1,2022,34,br BRA,2 Teams,br Série A,15,977,10.9,10,5,3,FW,e47d11f8
224,Miguel Monsalve,0.3,0.17,0.60,27.8,0.5,1.7,0.3,0.0,0.0,16.1,2024,19,co COL,Grêmio,br Série A,19,978,10.9,10,9,3,FWMF,a2f7f47c
225,Gabriel Chaves,0.3,0.12,0.33,36.4,0.8,2.3,0.3,0.0,0.0,17.8,2023,21,br BRA,Vasco da Gama,br Série A,37,2612,29.0,29,8,0,FWMF,c37ce1ca
226,João Magno,0.3,0.12,0.38,32.0,0.7,2.3,0.3,0.0,0.0,14.8,2023,25,br BRA,Goiás,br Série A,19,983,10.9,13,6,1,FW,d173dcd7
227,Rony,0.3,0.10,0.28,35.3,1.0,2.8,0.3,0.0,0.0,13.1,2023,27,br BRA,Palmeiras,br Série A,30,1639,18.2,19,11,0,FW,bffd5e50
228,Derek,0.3,0.10,0.38,26.7,0.7,2.7,0.3,0.0,0.1,15.4,2024,26,br BRA,Atl Goianiense,br Série A,25,986,11.0,11,14,4,FW,2c787718
229,Léo Natel,0.3,0.11,0.29,36.8,1.0,2.6,0.3,0.0,0.0,21.5,2020,22,br BRA,Corinthians,br Série A,31,1316,14.6,14,17,3,FWMF,cd8d04a2
230,Tomas Pochettino,0.3,0.15,0.56,26.5,0.5,1.9,0.3,0.0,0.1,22.5,2024,27,ar ARG,Fortaleza,br Série A,32,1648,18.3,19,13,3,MFFW,fb36aa6b
231,Pedro Perotti,0.3,0.11,0.60,18.5,0.5,2.4,0.3,0.0,0.0,12.9,2021,23,br BRA,Chapecoense,br Série A,26,994,11.0,7,19,1,FWMF,c319dd64
232,Wanderson,0.3,0.18,0.35,52.6,0.8,1.5,0.3,0.0,0.0,20.6,2023,28,br BRA,Internacional,br Série A,32,2336,26.0,26,6,2,FWMF,5da33b33
233,Arthur,0.3,0.11,0.38,28.9,0.7,2.4,0.3,0.0,0.0,16.4,2024,31,br BRA,Criciúma,br Série A,33,1671,18.6,18,15,2,FW,4a870f60
234,Yeferson Soteldo,0.3,0.19,0.50,37.0,0.5,1.5,0.3,0.0,0.0,16.2,2024,26,ve VEN,Grêmio,br Série A,24,1673,18.6,19,5,0,FWMF,bbb6c951
235,Thaciano,0.3,0.13,0.44,29.6,0.6,2.1,0.3,0.0,0.0,13.5,2024,28,br BRA,Bahia,br Série A,35,2343,26.0,32,3,1,FWMF,139113e4
236,Michael,0.3,0.11,0.28,40.0,1.0,2.4,0.3,0.0,0.0,19.9,2019,22,br BRA,Goiás,br Série A,35,3023,33.6,35,0,0,FWMF,f523d00b
237,Cadu,0.3,0.19,0.43,43.8,0.6,1.4,0.3,0.0,0.0,12.1,2024,19,br BRA,Atlético Mineiro,br Série A,20,1008,11.2,12,8,6,FWMF,6fefa986
238,Vinícius,0.3,0.14,0.30,46.5,0.9,1.9,0.3,0.0,0.0,16.1,2020,20,br BRA,Goiás,br Série A,28,2019,22.4,23,5,0,FWMF,ecce7383
239,Guilherme Bissoli,0.3,0.07,0.18,37.9,1.0,2.6,0.2,0.1,0.1,17.8,2021,23,br BRA,Ath Paranaense,br Série A,21,1010,11.2,11,10,4,FW,c9024e62
240,Marinho,0.3,0.09,0.27,34.1,1.0,2.9,0.3,0.0,0.0,22.1,2024,33,br BRA,Fortaleza,br Série A,23,1348,15.0,16,7,2,FW,c077c735
241,Jhon Arias,0.3,0.12,0.29,41.4,0.9,2.2,0.3,0.0,0.1,17.6,2024,26,co COL,Fluminense,br Série A,27,2376,26.4,26,1,0,FW,86d96066
242,Yuri Alberto,0.3,0.09,0.29,32.6,0.9,2.8,0.3,0.0,0.0,14.6,2023,21,br BRA,Corinthians,br Série A,34,2722,30.2,32,2,1,FW,65159211
243,Dudu,0.3,0.09,0.24,40.0,1.1,2.8,0.3,0.0,0.0,19.6,2019,27,br BRA,Palmeiras,br Série A,36,3063,34.0,34,2,0,FWMF,895ef5ec
244,Nikão,0.3,0.06,0.16,36.2,1.3,3.6,0.2,0.1,0.1,24.0,2019,26,br BRA,Ath Paranaense,br Série A,23,1702,18.9,20,3,1,FWMF,a34bb194
245,Christian,0.3,0.15,0.57,26.9,0.5,1.7,0.3,0.0,0.0,20.1,2023,22,br BRA,Ath Paranaense,br Série A,21,1362,15.1,14,7,2,MFFW,a856b456
246,Jhon Arias,0.3,0.10,0.22,46.0,0.9,1.9,0.2,0.1,0.1,19.6,2023,25,co COL,Fluminense,br Série A,29,2385,26.5,26,3,1,FWMF,86d96066
247,Diego Churín,0.3,0.12,0.27,42.3,0.8,2.0,0.2,0.0,0.0,14.1,2022,32,ar ARG,Atl Goianiense,br Série A,36,2387,26.5,25,11,0,FW,875ac6e9
248,Leandro Barcia,0.3,0.16,0.38,42.1,0.7,1.7,0.3,0.0,0.0,11.2,2020,27,uy URU,Sport Recife,br Série A,16,1025,11.4,10,6,0,FWMF,11d91ea7
249,Hércules,0.3,0.14,0.36,39.3,0.7,1.8,0.3,0.0,0.0,24.3,2022,21,br BRA,Fortaleza,br Série A,28,1367,15.2,12,16,3,MFFW,eadc7b45
250,Pablo,0.3,0.12,0.38,32.0,0.7,2.2,0.3,0.0,0.0,13.4,2019,26,br BRA,São Paulo,br Série A,13,1026,11.4,13,0,0,FW,1ad394c5
251,Thiago Neves,0.3,0.12,0.38,31.0,0.6,1.8,0.2,0.0,0.0,24.0,2020,34,br BRA,Sport Recife,br Série A,25,2054,22.8,24,1,0,MFFW,522d4722
252,Zé Rafael,0.3,0.12,0.31,39.0,0.8,2.2,0.3,0.0,0.0,18.1,2019,25,br BRA,Palmeiras,br Série A,27,1715,19.1,23,4,6,FWMF,634b1413
253,Jefferson Savarino,0.3,0.10,0.39,26.9,0.7,2.5,0.3,0.0,0.0,19.3,2020,23,ve VEN,Atlético Mineiro,br Série A,32,2402,26.7,28,4,0,FWMF,91721722
254,Federico Zaracho,0.3,0.17,0.50,33.3,0.5,1.6,0.3,0.0,0.0,15.8,2021,22,ar ARG,Atlético Mineiro,br Série A,32,2412,26.8,29,3,0,MFFW,803d5265
255,Bruno Henrique,0.3,0.10,0.26,36.5,0.8,2.3,0.2,0.0,0.0,17.2,2024,33,br BRA,Flamengo,br Série A,29,2070,23.0,24,5,0,FWMF,5edff24f
256,Marinho,0.3,0.07,0.21,31.1,0.9,2.9,0.2,0.1,0.1,21.6,2022,31,br BRA,Flamengo,br Série A,25,1381,15.3,16,9,8,FW,c077c735
257,Luis Henrique,0.3,0.15,0.31,48.1,0.8,1.8,0.3,0.0,0.0,20.2,2023,21,br BRA,Botafogo (RJ),br Série A,34,1381,15.3,13,21,2,FWMF,f36d5624
258,Zé Roberto,0.3,0.12,0.50,24.4,0.4,1.8,0.2,0.0,0.0,15.1,2021,27,br BRA,Atl Goianiense,br Série A,34,2082,23.1,26,8,0,FW,810033a1
259,Wellington Rato,0.3,0.08,0.29,29.2,0.9,3.1,0.3,0.0,0.0,21.3,2022,29,br BRA,Atl Goianiense,br Série A,36,2782,30.9,33,3,0,FWMF,598917cf
260,Marcos Paulo,0.3,0.12,0.44,27.3,0.6,2.1,0.3,0.0,0.0,15.1,2019,17,br BRA,Fluminense,br Série A,24,1391,15.5,16,8,9,FWMF,d70a5433
261,Lucas Barbosa,0.3,0.10,0.29,34.3,0.9,2.6,0.3,0.0,0.0,19.3,2024,22,br BRA,Juventude,br Série A,33,2443,27.1,32,1,0,FW,a28eac7e
262,Vágner Love,0.3,0.13,0.40,33.3,0.5,1.5,0.2,0.1,0.1,16.0,2019,34,br BRA,Corinthians,br Série A,28,1758,19.5,18,10,5,FWMF,6d4d9e18
263,Jô,0.3,0.15,0.32,48.7,0.8,1.7,0.3,0.0,0.0,12.4,2020,32,br BRA,Corinthians,br Série A,30,2113,23.5,24,6,0,FW,e47d11f8
264,Bruno Nascimento,0.3,0.08,0.22,35.5,0.9,2.4,0.2,0.1,0.1,21.2,2023,25,br BRA,Cruzeiro,br Série A,35,2820,31.3,30,5,0,FWMF,46411d56
265,Matheus Pereira,0.3,0.12,0.36,32.8,0.7,2.1,0.3,0.0,0.0,21.0,2024,27,br BRA,Cruzeiro,br Série A,34,2823,31.4,31,3,0,FWMF,b04ee927
266,Deyverson,0.3,0.10,0.26,38.0,1.0,2.5,0.3,0.0,0.0,12.7,2019,27,br BRA,Palmeiras,br Série A,24,1774,19.7,21,3,8,FW,2e5e846d
267,Derik Lacerda,0.3,0.15,0.44,34.6,0.6,1.6,0.3,0.0,0.0,14.6,2024,24,br BRA,Cuiabá,br Série A,27,1420,15.8,15,12,0,FWMF,d028bfe9
268,Franco Cristaldo,0.3,0.10,0.26,36.5,0.8,2.2,0.2,0.0,0.0,19.2,2024,27,ar ARG,Grêmio,br Série A,35,2136,23.7,25,10,1,MFFW,25b26e2e
269,Dudu,0.3,0.09,0.30,28.6,0.8,2.9,0.3,0.0,0.0,19.0,2023,31,br BRA,Palmeiras,br Série A,14,1076,12.0,14,0,0,FW,895ef5ec
270,Luiz Henrique,0.2,0.10,0.27,37.3,0.8,2.1,0.2,0.0,0.0,19.2,2024,23,br BRA,Botafogo (RJ),br Série A,35,2533,28.1,33,2,1,FWMF,8059806f
271,Robson,0.2,0.09,0.29,31.8,0.9,2.7,0.2,0.0,0.1,20.7,2022,30,br BRA,Fortaleza,br Série A,29,1448,16.1,16,13,2,FWMF,e29eff7a
272,Gilberto,0.2,0.09,0.33,25.7,0.7,2.9,0.2,0.0,0.0,15.3,2023,33,br BRA,Cruzeiro,br Série A,20,1093,12.1,14,6,3,FW,5da22685
273,Raí Nascimento,0.2,0.13,0.25,52.2,1.0,1.9,0.2,0.0,0.0,19.8,2021,22,br BRA,Bahia,br Série A,15,1098,12.2,15,0,0,FWMF,909aff69
274,Gustavo Scarpa,0.2,0.03,0.09,29.5,1.2,3.9,0.1,0.1,0.2,25.4,2022,28,br BRA,Palmeiras,br Série A,35,2575,28.6,31,4,1,MFFW,2964fd20
275,Cléber,0.2,0.11,0.35,32.1,0.7,2.2,0.2,0.0,0.0,13.8,2020,23,br BRA,Ceará,br Série A,33,2208,24.5,29,4,3,FW,e539e239
276,Gilberto,0.2,0.09,0.21,40.0,1.1,2.8,0.2,0.0,0.0,16.6,2024,34,br BRA,Juventude,br Série A,24,1110,12.3,15,9,3,FW,5da22685
